,產業別,96_1,96_2,96_3,96_4,96_5,96_6,96_7,96_8,96_9,96_10,96_11,96_12,97_1,97_2,97_3,97_4,97_5,97_6,97_7,97_8,97_9,97_10,97_11,97_12,98_1,98_2,98_3,98_4,98_5,98_6,98_7,98_8,98_9,98_10,98_11,98_12,99_1,99_2,99_3,99_4,99_5,99_6,99_7,99_8,99_9,99_10,99_11,99_12,100_1,100_2,100_3,100_4,100_5,100_6,100_7,100_8,100_9,100_10,100_11,100_12,101_1,101_2,101_3,101_4,101_5,101_6,101_7,101_8,101_9,101_10,101_11,101_12,102_1,102_2,102_3,102_4,102_5,102_6,102_7,102_8,102_9,102_10,102_11,102_12,103_1,103_2,103_3,103_4,103_5,103_6,103_7,103_8,103_9,103_10,103_11,103_12,104_1,104_2,104_3,104_4,104_5,104_6,104_7,104_8,104_9,104_10,104_11,104_12,105_1,105_2,105_3,105_4,105_5,105_6,105_7,105_8,105_9,105_10,105_11,105_12,106_1,106_2,106_3,106_4,106_5,106_6,106_7,106_8,106_9,106_10,106_11,106_12,107_1,107_2,107_3,107_4,107_5,107_6,107_7,107_8,107_9,107_10,107_11,107_12,108_1,108_2,108_3,108_4,108_5,108_6,108_7,108_8,108_9,108_10,108_11,108_12,109_1,109_2,109_3,109_4,109_5,109_6,109_7,109_8,109_9,109_10,109_11,109_12,110_1,110_2,110_3,110_4,110_5,110_6,110_7,110_8,110_9,110_10,110_11,110_12,111_1,111_2,111_3,111_4,111_5
0,水泥工業,4710370,3507860,4345818,4087149,4145500,3594099,4185758,3505374,3756134,4042213,4011998,4288562,4403181,3028904,4222780,3994775,4124812,3803966,3741451,4121965,3600555,4242406,3787715,4051664,3298397,3205001,3849158,3344557,3667925,3586108,3709373,3317100,3545496,3434465,3228356,3640364,3862049,2777427,3723144,3509950,3484592,3154797,3504954,3388127,3359185,3380225,4033652,4287102,4260821,2684445,3994404,4022657,3667195,3714779,3741081,3648462,3831495,3850671,3805552,4075499,3348139,3370829,4279750,4062436,3892899,3612118,4093423,3817440,3970103,4302345,4169186,4100859,16972856,9099023,16628616,17528976,17444029,17009293,17480460,17211858,17620878,19260414,20267728,20840985,17930828,10339592,20025052,20312201,20096893,18306415,18646873,18144334,18068218,19269990,17778146,19105313,17748399,9272095,14543073,15930996,15326305,15552390,15532948,14299008,14107860,15737799,15251190,16100562,13039654,7155371,14433039,14383103,14893160,14476318,13987557,14002975,13501045,15328704,15881114,17291802,11644158,10016844,15953849,14968856,15682473,14423068,14599291,13864495,15479426,15538838,18304045,19734864,17969058,9091598,17636323,19711257,20912858,19791166,19579855,19369227,19796880,21254538,20970915,19845281,19164929,9031099,20802415,20806183,21145402,18932272,19885768,19121906,19214389,20038762,21727505,22300871,14136827,9122019,16262956,18931118,19213429,18436089,18792530,18178900,18815672,19703782,20781676,21411429,18033987,9058675,18943976,19467245,19377987,17032017,16446563,17705599,18945697,20860429,20738870,22248155,16747415,10528814,19959347,18805611,17510737
1,食品工業,12212624,10243533,11495340,11203346,12860855,12327014,13279814,14668099,13254267,13451859,12954278,13451996,16117965,12033514,13986456,14089687,14713385,14745319,16390583,15422222,14338193,14235881,13136196,14788814,13628778,11630484,13385480,13043108,13812777,14276746,14357621,15467767,13884168,14064774,13255264,14060365,15063973,12327395,13723878,13943943,13962779,14177549,15898411,16478418,15083696,14925190,15170193,15796170,17757584,12746402,15747489,15248749,15601834,15326042,17138601,17488634,16724883,16018222,16011232,16394364,15695456,13765022,15790618,15132257,15670741,15510340,17828749,18822669,16520788,16301476,16175414,16261202,64419715,47051769,56042522,55671212,57575725,57125387,61926378,63078003,59396656,56588115,53154917,53284722,66303579,48920151,56785298,56500771,57371556,57783831,61554613,61749963,59766812,57296372,52841190,54285636,62993384,49019197,54256598,52600704,53824105,56707867,57748074,59631182,58372216,54384846,50385122,51156360,62974333,47000258,54436095,52061898,54716656,56290283,55052862,59590019,56685575,54077913,51882125,53002858,56969934,45222032,52780524,50880048,53318416,53597678,55349206,60176783,58721038,53574181,51886831,52476469,61684499,48035679,54535800,53970356,58616986,57291156,59162287,62506767,59752801,55988678,55078111,54880824,66835571,45746293,56469244,57275865,60146325,59894640,62678365,66080907,62109820,59439039,57320577,58329310,63477154,48333272,56846969,56106072,57561343,60611199,62746132,65286867,65845002,59786466,59811614,60968632,72995806,51040615,62736839,63678255,64671236,65515143,68176457,67703366,68724535,64788047,67465050,66723397,78119692,55064385,69128233,69165830,69269538
2,塑膠工業,56082204,47892144,64177348,62428885,68764564,65624396,70791610,71262252,71149463,74085213,74798612,75936135,76141552,70710247,75516060,72759348,78670848,82237051,78939261,64507053,57112190,46169994,34036942,36704994,34158117,44100119,48411457,55188069,54278981,59541212,59954549,61306790,54912160,57730215,60705843,65964520,69449805,59967713,74704311,75535789,73653474,66737595,69005915,72873854,67493091,68575440,71190024,74036493,76747184,70455949,85161378,78113672,71204861,60609350,69105036,67821556,63810996,60477549,60150772,65322290,63284396,73740228,77033132,70358963,65991075,59190303,63398618,66826652,62214301,64245327,66895358,68440908,103197977,87176556,99169930,103122187,107427404,100449650,104666472,109860227,101558158,103663533,104886126,109118741,102958314,91550423,103472527,108894445,108940412,107647488,109940468,104675842,97873277,94318220,93954004,94135866,90900000,76317678,98891170,98738195,97304217,91808210,88024328,82176982,84158026,83889929,80903832,80898364,78131266,66756910,93110979,85076366,83553777,82621867,85137617,84213040,80883141,84439602,90623756,94699134,88454481,87074133,96352592,89202366,89641117,92694954,92304126,96950091,97002352,95800436,101274091,106967840,107600750,86219515,110434287,104692333,110458272,106797131,106565841,110577708,107285309,107866096,101103438,98497258,99905376,80279326,98929968,96379852,93969465,87771278,92131121,88774591,84976794,86114801,84469822,84940514,75165152,67662840,76851127,69071412,66658241,72543550,75485721,73883722,79807401,83977249,90461996,98450589,98816374,86627611,118703178,119473527,116745886,115541247,116626538,118890219,114887674,121712690,120541242,117161182,114504785,100244824,127628191,116934876,119555369
3,紡織纖維,21970793,17521373,24636783,22387945,24040017,22827929,23240819,24178276,23679948,24223646,23233291,22115757,22756209,20634987,25063462,22213636,22463436,22985454,22173989,21296220,20764985,19276394,15431231,16714536,13364649,16540635,18948302,18965847,17961143,19236055,19571927,19285530,19867177,19577769,19891950,21984941,21541818,18238520,25191206,24304657,24245551,22643247,23692742,24787938,24092625,26206825,25372762,26210198,26614202,22206992,30947273,26656505,24301418,25618637,26717193,27523768,27112286,24828728,23733346,25640499,23103216,26653628,27545260,25165099,25655144,23497881,26254811,25706163,27602310,25731889,23176761,23537269,45580253,37746724,45459355,43697064,47646847,45608820,45868164,46570766,45666627,46254330,43747972,45467218,44896366,42325884,45405806,44994932,45406818,45527245,46031050,46618904,46835431,46708794,43525193,48845683,42138844,36963645,44760781,44360913,42927509,43778383,42934541,41916074,43433004,45248176,40662028,43927459,40987745,34643002,43435503,40930691,40605351,41356668,41386435,42776695,41651134,41357185,40911410,45917893,37606380,37747532,43775719,38919508,39717681,42184090,41574175,47398096,46469995,44985344,44981667,46161827,44718119,36756522,44968435,42578229,46647105,47138371,48596802,50676772,51914393,49152253,46552378,46696323,48859743,39964542,50420138,47493555,51254871,47684035,49033898,48603452,48294762,46049261,43589832,45358516,38696759,37104121,40889220,30638102,32363561,37196225,37389392,40156736,42051208,40613965,40714884,46340618,43092351,38407123,47855392,44428431,45631547,46180346,48016015,46150313,45617996,47540360,50464017,52867443,49089066,45140549,55349516,51185707,53245342
4,電機機械,12183940,9541210,13905502,12550044,13532025,13457681,13095997,13624250,13468670,13735327,14568833,15416432,14157394,10882802,14685431,14236443,14332130,13928640,14558464,13235689,13674183,12904978,11510876,12551228,9048127,9676253,10916476,10521438,14445065,10564163,10797311,9893380,11188017,10420352,11238410,13065824,11614818,9421279,13105550,13385506,12366012,13381809,13219532,12587454,13030351,13031870,13262588,14686815,13012120,11869209,14884510,13860547,14482005,15985152,14734351,14896024,14742514,14330819,14442551,15011479,12995296,16501576,19577336,18571639,19610276,19245190,18558234,18147892,18109146,17098999,16580367,18903404,26133945,20944696,26149207,26544510,29220520,28485868,28028227,27963346,27884874,27425164,27937845,30045994,26701012,24520194,30600741,27261511,28082317,31537874,28407800,27232904,29369831,28889515,28423231,32753380,27556105,22535432,28443428,25634858,26059106,27735056,25364246,26339964,27908947,26037726,24659684,28708654,25465204,20414312,26557410,25756462,25999489,26523773,24732397,25044435,25412324,25339963,27485209,31030580,23995078,22879316,27492275,25722710,26145954,28521436,27606236,28615471,29116632,28494682,30850572,32011432,28920416,22416143,29319301,29128796,29144796,30203962,29272375,29656580,30194249,27617037,28595593,29323317,25627753,19533854,25888936,24271756,25100507,25339263,23792110,22954548,23569661,22446855,24245860,27637210,20904258,18384188,23626044,21751020,21716445,24627712,24240202,23817652,25031773,24712432,25818592,32620997,26829679,21295135,29657094,28037882,27923730,29639875,28505819,28575072,28253143,27613310,29465418,32536837,28777972,23100039,30698764,25850010,26966823
5,電器電纜,13710452,11435532,15062224,16090739,16764980,15596391,14410819,13363052,13985913,12757285,12032133,12113619,12386215,11064146,15868632,14778374,13395416,13192292,13123085,12549462,12478351,10401615,7445336,6115388,5757984,6613787,10018143,10814454,8541594,10189605,10173921,9687223,10398839,10451488,9549428,11594962,11558094,10406433,13476740,13154319,13616317,12854020,13226579,12948479,13035252,12041112,12132051,12000453,12166495,10348747,14792026,12967093,12475629,12854442,12740333,12761528,13006323,11179314,10659604,11411102,9593216,11773868,14136244,12882582,12694764,12711612,12745317,12044638,11907420,11623882,10887402,11277230,19870090,15043206,19861425,20500109,19891771,20090383,19826196,19172922,18855289,18979287,19948779,21647648,18914208,16946890,20318980,20864498,21874784,21323307,21791719,18908355,23836166,18489946,19069038,19880801,19359238,14895574,20048562,20113654,19987000,19538748,19636521,17620924,18316296,18312507,18069032,19329317,17216259,13951598,17932651,17632013,18367191,18835764,18487737,18328488,18168377,17412788,17672241,21448492,17095880,16266593,21108498,19346795,19313044,19458855,21078612,20399588,26883835,19936229,20864658,22148390,31164113,15801477,22223987,25829592,22067209,23658512,22909994,23180074,19476049,20383860,20211917,20517192,20025412,14138246,20121302,20501323,19733546,16504528,17134013,16087596,16746536,16252881,15079110,18346394,13363718,11621278,15239979,18661619,13602726,15257599,16398042,15579240,17572371,15811511,16061946,18732140,17759834,13028068,19573903,20317608,21425558,22699405,22593081,21250503,22559536,22026887,22820818,25525949,21654550,19243412,25076592,25213742,25773498
6,化學工業,13655199,10884921,14553895,13907186,15331580,14146797,13869432,14839409,14139686,14987345,15240252,15216789,15991287,14578954,17221447,17345223,19955481,19911164,19148483,17884841,16152893,14701513,10741454,9466838,9397456,11207871,12333354,13397970,12718619,13311165,14253058,13200717,13439955,13995655,13366386,14815450,15310663,12784152,18304763,17309095,17033445,16426268,17337351,18669398,15972512,16371208,17059557,16974868,17580130,11275308,20318878,18992053,18559361,16911897,17462005,18808249,17566656,16510496,16615264,17272660,13407741,17722482,19474331,17623907,17580231,16294934,17013608,17075452,17148994,18142426,16992045,17745754,22267960,17584359,21755528,21556009,21398966,20668396,21077958,22332538,21554465,23430474,20980327,23159893,22840857,18401507,22892239,23828606,22424452,21479985,21859149,22169345,22871597,22799457,21794020,27367273,21261366,16536203,23014975,21506481,19958758,20276565,21467489,19216279,18488236,19890732,18444413,20679529,18805151,13915300,20482644,19202327,19199911,18934286,18997128,19502298,19101184,20048060,21803907,23652388,20666568,19146096,23138916,20016740,22083037,22960777,22485877,24769735,25192601,23079803,23682905,24041914,24882055,18622040,26230392,26065024,26131877,25265757,24735883,25670459,25873945,25670825,23941257,23327416,24770230,18428954,24672178,24037461,23216726,21404713,23344815,22158685,22786635,22510975,21112799,20740969,18964089,17530380,21442629,19577071,18742929,22265217,20278187,19574549,24116163,21147157,22398059,22500507,23883079,18301888,26273582,25201179,24026554,24227476,24434750,24484785,24820126,25819662,26707991,27146707,27274895,22267129,29856859,27794511,27022621
7,生技醫療業,2131329,1712153,2098703,1978883,2325898,2101295,2145508,2199558,2113619,2159011,2579898,1950857,2172969,1486507,1915383,1901842,2063631,1999555,2087134,2016414,1886572,2000868,1851133,2103259,1792859,1825799,1997412,1965777,2019516,2054005,2127304,1917535,2096595,2104988,2308163,2508573,2594932,2655967,2756344,2679555,2443825,2646620,2819314,3112016,3455725,3369283,3160160,3197322,3041936,2294409,3466861,2992992,3231915,3061159,3223338,3476564,3980879,4222750,3911399,4094811,3262629,3012939,4535036,3969970,4311425,4039543,4190914,4633745,4790687,5035495,4765990,5092283,5608165,4375015,5788517,5610079,5752112,5381822,5792058,6121047,5886414,6224672,6622691,7456907,6237078,4977501,5903654,5972248,6513055,5821060,5800254,5881677,6542139,6849103,6799549,7893800,6543483,5451526,6880606,6406460,6435866,6686958,6603950,6468558,7457200,7628090,7615754,8822463,7302790,6188305,7635760,7456320,7511580,7328687,6980688,7670691,7658152,7686989,8407820,9380426,7289286,6157281,7764066,6679891,7162476,7271066,6874491,7809715,7989797,8096708,8468149,9457745,8000811,6585991,7865880,7225742,8129261,8166729,7585491,8553285,8639893,8752410,9182084,10282942,9157767,7248687,8675137,8249453,8697143,8518062,8566232,9020245,9094591,9365037,9971436,12711772,8297766,7905305,9431136,8943505,9148234,9634806,10106363,9725189,12093272,11976997,11916174,13855310,10960936,9326521,10714184,9936316,10399968,10147912,9674112,9959138,11383896,10969731,11297157,13020150,10449697,8929850,11331252,9696774,10405732
8,玻璃陶瓷,2102931,1294459,2295507,2058387,2141930,2035315,2185418,2314756,1967127,2183105,2027094,2041100,2093116,1517433,2214624,2079341,2239722,2153131,1948850,1839119,1733104,1725562,1394200,1416940,1040634,1176977,1518503,1380248,1409276,1604001,1633597,1738564,1578124,1791357,1649312,1800058,1951658,1398531,2132751,1961003,2000125,2105092,1873826,1958680,1950287,1702920,1736983,2036363,1831164,1387694,1986937,2058023,1844232,1897999,1932442,1884636,1778162,1671036,1748725,1848003,1539781,1598286,2048433,1990794,2026920,1855647,1931541,1800953,1794793,1947345,1847402,1948283,4183351,2707960,4424391,4537218,4575237,4313068,4699458,4935171,5183590,5451999,5272055,5397012,4164858,3671050,5090297,5272911,5429080,5224195,5266222,5159852,5236364,5218641,5106666,5374464,5052389,2833740,4871735,4871851,4823649,4926430,4990966,4833201,4985349,5320252,5202463,5800975,4675441,3126024,5190577,4879810,5065382,4887944,4925968,5436411,4990854,4991425,5302154,5422268,3903674,3969571,4997033,4868997,4765912,4987378,5074795,5478911,5478038,5397028,5522392,5778368,5365207,3124899,5770002,5293800,5466339,5314919,5257778,5594450,5009672,5013553,5217916,4947617,4537631,2627710,4746081,4688025,4972590,4662321,4965397,4845158,5209978,5022259,5050745,5332121,3191262,2461238,4242411,4066141,4142682,4508796,4793836,5210956,5437843,5223468,5610743,5899061,5102741,3427336,5995384,6066554,6313680,6034777,6420906,6375185,5818728,5691328,5794035,6123732,4785496,4741467,5084081,5085585,5351753
9,造紙工業,5327407,3860516,5793235,5184560,5528656,5395252,5613298,5691853,5171846,5596673,5538880,5571510,5287833,4890984,6026721,5766451,5893846,5271116,5034218,4909641,4795082,4819859,3845363,3935120,2787813,3411612,4036033,4046476,4045724,4461629,4267684,4205878,4529187,4616789,4758832,4979225,4990326,4046880,5814263,5480562,5127226,4913946,5032773,5070763,5357394,5247495,5339682,5443680,5273491,4174235,5811903,5334885,5341156,5138574,5132347,5227725,5591699,5278210,5229676,5259780,3962719,4991692,5641129,5469640,5436552,5031505,5162197,5122948,4790331,4874680,4894004,4635485,13054091,9759232,12033383,12075022,12093043,11418459,12655003,12536459,12168652,12576878,12752456,13818418,12469073,11236139,12367516,12976378,12954312,12650997,13118893,12912276,13214537,13684927,13307483,14739974,13772095,10078420,13593433,13181077,12978621,12655324,13459466,12974049,13267189,13149002,12892170,13322083,13284362,10000507,14014690,12988864,13347434,13177766,13335388,13461757,12747239,13138381,14237277,15671537,13504740,13084625,14809336,12860877,14152242,14545117,13968474,16378678,17301794,17271241,15772301,16608917,16255675,11631733,17696326,16463853,17455820,17457880,17078085,17563644,15560436,16656852,16299533,15886860,16402654,11694042,15622393,15660867,15465416,15045466,15567136,15428561,15158841,15512237,15888383,17493386,12261161,11007584,13989915,14132757,13151313,14178204,14895136,15477025,17125795,16846729,17313933,19020410,18636588,14537335,17872468,17630701,19787360,18973922,18349799,17191855,19109280,18940183,19686383,20209581,18697761,14689839,20392480,17603163,18617189
10,鋼鐵工業,46801659,38584901,52556608,48107902,49768063,46649365,44830800,44815482,44760874,49732896,48757288,51092641,55989410,46673130,60853631,61038049,63844527,63043023,63795274,62312503,55047396,49667026,35698203,33496974,25642322,29462092,31061468,29471270,29984951,35162685,36435146,35075706,36345019,38832240,37249617,42828616,45054067,34811211,48998234,48005359,49139444,46070655,46625182,48480079,46659479,46430202,48436611,50368541,50900206,41574398,55988286,53789896,51194239,50295317,50069891,50833584,50727954,48953772,46998911,46417491,39870190,46671970,51331260,49508473,49180756,43451265,44280490,40876364,38583748,40543856,40707151,42258999,68025707,51642693,66188791,61692371,61221180,55720225,60964379,60755731,59437977,62263385,59769574,62142338,64888725,58162228,66381290,65168345,66550620,65877612,66318794,64007554,64257851,63910502,60382365,64172342,63391769,49208957,61659791,56396125,53908598,53596728,53241283,49224827,46912492,47953738,45726596,47967081,48716841,39450725,54435941,50465688,53896738,53203847,52095392,54830201,49972556,54575968,57650400,59777156,56159680,56138148,68447710,58126072,62477681,59526125,61178067,66104956,64955317,64490343,64969347,66693318,72038015,58574640,74451013,70499408,76085866,73722166,75348587,74004513,71622488,76063027,69872996,68344271,74595398,57973913,72676331,69955811,69741706,61891072,66215982,65782604,61327082,61076667,58757314,63505687,53570117,56697261,61713587,53769473,50908110,54116702,55156637,57358215,59420050,60677060,64766625,69032835,70578779,64490295,82333958,81727385,87364425,89064314,92632957,91531306,92428067,94481777,96867738,89515592,88505269,77481953,99473588,101214785,95919833
11,橡膠工業,4334216,3659221,5515433,4853954,5274683,5347136,4946994,5316694,4866821,4981762,5162999,5221522,5196635,4728150,5498800,5746140,5829570,5899893,5832937,6049918,6002743,5685940,4577409,4185801,2668141,3621993,4402088,4388856,4067906,4667659,4433080,4552964,4876684,5022579,4855857,6136976,5338744,4445324,6233604,6036140,6038653,6505135,5833329,5995033,6312649,6300558,6473520,7324027,6075971,5451401,8214661,7166404,7549820,7870926,6652454,7463578,7553853,6448594,6669197,8120032,5193426,6768218,7296846,7049243,7475545,8022758,6466961,6762670,6022379,6400474,5659946,5946703,21296368,17659943,23868792,23311419,24362553,22605697,22375777,22823388,21205595,20452732,20768355,24389202,19838567,19163852,23940891,22692442,23460939,22379077,22262728,21817923,22344721,21053456,20257429,19791858,20475654,15390715,21782534,20322410,20146095,20264393,19092809,19058574,19229322,18882006,17758798,17424011,18640585,15076898,21131747,19328085,20547442,19582757,18724975,18604558,18818533,17735732,18840224,19457467,17783505,19266459,22641522,19701642,20071025,19958976,19253617,20062229,19227826,19108573,19402433,18800767,20842230,15246175,22214460,19846101,21038358,20335465,20056692,20578662,19725347,19233377,19437610,18057443,20668878,16121429,21214447,20890047,20880012,19819176,19713311,20445416,19607630,18396576,18538145,17649595,16068957,12644779,17984279,14029428,15363744,16902771,19058399,19967226,20148939,19203881,20157295,21138270,22422435,17472266,24390344,21944001,21231127,20737185,20602124,19641460,18737503,18682987,21458870,18309130,18605903,16436417,21780388,18385936,19642020
12,汽車工業,23082599,11222035,15226638,13715376,14159043,15843871,15506417,11493678,11802321,15420088,13176396,13681238,24185438,8442994,12927247,12420783,11938857,13610874,11573056,6781875,8621254,10989731,6176342,8158569,14526910,8124796,8732795,10661748,12338581,17202358,15937008,10740902,11328323,15945664,17098240,20038967,18503019,13133722,16169627,15414599,16181204,16405937,16718473,11405762,14766331,17765813,16040380,12378397,31297062,17258001,20497921,12085130,13088674,18504490,21886648,15639783,18800246,20247231,17927359,15270342,29812927,16893816,21295830,15180742,19630364,19380259,18703806,15256236,17041869,18615521,15949909,12897429,45086667,25652205,33585655,32009431,34545338,33950385,37769606,31349961,34760853,37335766,38811731,38893113,45013980,28688588,39293256,40810366,42847155,41340287,46253916,35040823,40411316,42106329,40111692,41489065,52846939,31993430,42428012,37260542,41384901,44258590,43802856,31737743,35926046,41421725,40504470,42589189,51481302,29085608,42961486,42246065,41778269,45884773,45064673,35738715,38895730,44659511,43042426,42616855,49889365,34479209,43230551,39289987,39111650,42537503,41752564,39217632,40770650,41216775,45954398,44040556,52037325,33365228,45839413,40658664,45342070,43713268,46161680,40276289,36345697,42975133,43169746,43665303,49665131,29617898,43474315,46118051,45518766,44456871,51343002,39109340,43616349,46617401,48802061,47750512,47804479,36948354,43774515,41203450,40781362,46810787,52335193,40668322,46812483,49233588,50859687,50409832,59133661,38819272,52188959,48904430,49012049,47152974,48087640,44866071,43345774,42845696,46761762,47920653,55313344,37708787,50812010,46245480,42467246
